"","x"
"K13749","solute carrier family 24 (sodium/potassium/calcium exchanger), member 1"
"K13752","solute carrier family 24 (sodium/potassium/calcium exchanger), member 4"
"K13755","calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]"
"K13756","rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta [EC:3.1.4.35]"
"K13757","cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha' [EC:3.1.4.35]"
"K13758","retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta"
"K13759","retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
"K13760","retinal cone rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma"
"K13761","high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9 [EC:3.1.4.35]"
"K13762","cGMP-specific 3',5'-cyclic phosphodiesterase [EC:3.1.4.35]"
"K13763","cGMP-specific 3',5'-cyclic phosphodiesterase, invertebrate [EC:3.1.4.35]"
"K13764","recoverin"
"K13765","regulator of G-protein signaling 9"
"K13766","methylglutaconyl-CoA hydratase [EC:4.2.1.18]"
"K13767","enoyl-CoA hydratase [EC:4.2.1.17]"
"K13768","gastrin"
"K13769","insulin-like growth factor 2"
"K13771","Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor"
"K13773","p53-regulated apoptosis-inducing protein 1"
"K13774","citronellol/citronellal dehydrogenase"
"K13775","citronellol/citronellal dehydrogenase"
"K13776","citronellyl-CoA synthetase [EC:6.2.1.-]"
"K13777","geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]"
"K13778","geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]"
"K13779","isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57]"
"K13780","solute carrier family 7 (L-type amino acid transporter), member 5"
"K13781","solute carrier family 7 (L-type amino acid transporter), member 8"
"K13784","prothymosin alpha"
"K13786","cob(II)yrinic acid a,c-diamide reductase [EC:1.16.8.1]"
"K13787","geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
"K13788","phosphate acetyltransferase [EC:2.3.1.8]"
"K13789","geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
"K13790","virulence protein IcsB"
"K13791","invasion plasmid antigen"
"K13792","secreted effector OspG"
"K13793","secreted effector OspE"
"K13797","DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]"
"K13798","DNA-directed RNA polymerase subunit B [EC:2.7.7.6]"
"K13799","pantoate ligase / CMP/dCMP kinase [EC:6.3.2.1 2.7.4.25]"
"K13800","UMP-CMP kinase [EC:2.7.4.- 2.7.4.14]"
"K13802","opsin Rh1"
"K13803","transient-receptor-potential-like protein"
"K13804","inactivation no afterpotential D protein"
"K13805","arrestin-2"
"K13806","sn1-specific diacylglycerol lipase [EC:3.1.1.-]"
"K13807","serine/threonine-protein phosphatase with EF-hands [EC:3.1.3.16]"
"K13809","UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]"
"K13810","transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]"
"K13811","3'-phosphoadenosine 5'-phosphosulfate synthase [EC:2.7.7.4 2.7.1.25]"
"K13812","bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]"
"K13813","syntaxin 12/13"
"K13815","two-component system, response regulator RpfG"
"K13816","DSF synthase"
"K13820","flagellar biosynthetic protein FliR/FlhB"
"K13821","RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"
"K13822","hemoglobin subunit alpha"
"K13823","hemoglobin subunit beta"
"K13829","shikimate kinase / 3-dehydroquinate synthase [EC:2.7.1.71 4.2.3.4]"
"K13830","pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19]"
"K13831","3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]"
"K13832","3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]"
"K13833","sporozoite microneme protein"
"K13834","sporozoite microneme protein 2"
"K13835","cell-traversal protein for ookinetes and sporozoites"
"K13836","circumsporozoite protein"
"K13837","thrombospondin-related anonymous protein"
"K13838","merozoite surface protein 1"
"K13839","merozoite surface protein 2"
"K13840","merozoite surface protein 3"
"K13841","merozoite surface protein 4"
"K13842","merozoite surface protein 5"
"K13843","merozoite surface protein 6"
"K13844","merozoite surface protein 8"
"K13845","apical merozoite antigen 1"
"K13846","Duffy binding protein"
"K13847","erythrocyte-binding antigen 175"
"K13848","erythrocyte-binding antigen 140"
"K13849","reticulocyte-binding protein"
"K13850","erythrocyte membrane protein 1"
"K13851","repetitive interspersed family protein"
"K13852","subtelomeric variable open reading frame"
"K13853","3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]"
"K13855","solute carrier family 4 (anion exchanger), member 2"
"K13857","solute carrier family 4 (sodium bicarbonate cotransporter), member 5"
"K13863","solute carrier family 7 (cationic amino acid transporter), member 1"
"K13867","solute carrier family 7 (L-type amino acid transporter), member 7"
"K13868","solute carrier family 7 (L-type amino acid transporter), member 9"
"K13873","L-arabinose 1-dehydrogenase [EC:1.1.1.376]"
"K13874","L-arabinonolactonase [EC:3.1.1.15]"
"K13875","L-arabonate dehydrase [EC:4.2.1.25]"
"K13876","2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]"
"K13877","2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]"
"K13879","bestrophin-2"
"K13882","coronin-1A"
"K13883","Rab-interacting lysosomal protein"
"K13884","macrophage receptor with collagenous structure"
"K13885","scavenger receptor class B, member 1"
"K13889","glutathione transport system substrate-binding protein"
"K13890","glutathione transport system permease protein"
"K13891","glutathione transport system permease protein"
"K13892","glutathione transport system ATP-binding protein"
"K13893","microcin C transport system substrate-binding protein"
"K13894","microcin C transport system permease protein"
"K13895","microcin C transport system permease protein"
"K13896","microcin C transport system ATP-binding protein"
"K13897","cystatin-SN"
"K13898","cystatin-SA"
"K13899","cystatin-C"
"K13900","cystatin-S"
"K13901","cystatin-D"
"K13908","mucin-5B"
"K13909","mucin-7"
"K13910","salivary acidic proline-rich phosphoprotein 1/2"
"K13911","basic salivary proline-rich protein 1/2"
"K13912","deleted in malignant brain tumors 1 protein"
"K13913","histatin"
"K13914","statherin"
"K13915","lysozyme C [EC:3.2.1.17]"
"K13916","cathelicidin antimicrobial peptide"
"K13917","mRNA-capping enzyme [EC:2.7.7.50 3.6.1.-]"
"K13919","propanediol dehydratase medium subunit [EC:4.2.1.28]"
"K13920","propanediol dehydratase small subunit [EC:4.2.1.28]"
"K13921","1-propanol dehydrogenase"
"K13922","propionaldehyde dehydrogenase [EC:1.2.1.87]"
"K13923","phosphate propanoyltransferase [EC:2.3.1.222]"
"K13924","two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]"
"K13925","plasmin and fibronectin-binding protein A"
"K13927","holo-ACP synthase / triphosphoribosyl-dephospho-CoA synthase [EC:2.7.7.61 2.4.2.52]"
"K13937","hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]"
"K13938","dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.- 1.5.1.3]"
"K13939","dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:4.1.2.25 2.7.6.3 2.5.1.15]"
"K13940","dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:4.1.2.25 2.7.6.3]"
"K13941","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:2.7.6.3 2.5.1.15]"
"K13942","5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2]"
"K13946","auxin influx carrier (AUX1 LAX family)"
"K13950","para-aminobenzoate synthetase [EC:2.6.1.85]"
"K13951","alcohol dehydrogenase 1/7 [EC:1.1.1.1]"
"K13952","alcohol dehydrogenase 6 [EC:1.1.1.1]"
"K13953","alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]"
"K13954","alcohol dehydrogenase [EC:1.1.1.1]"
"K13960","ubiquitin-conjugating enzyme E2 T [EC:2.3.2.23]"
"K13961","solute carrier family 9 (sodium/hydrogen exchanger), member 4"
"K13962","solute carrier family 26 (anion exchange transporter), member 7"
"K13963","serpin B"
"K13967","N-acetylmannosamine-6-phosphate 2-epimerase / N-acetylmannosamine kinase [EC:5.1.3.9 2.7.1.60]"
"K13968","cysteine proteinase"
"K13969","adhesin"
"K13970","galactose-inhibitable lectin heavy subunit"
"K13971","galactose-inhibitable lectin light subunit"
"K13972","galactose-inhibitable lectin intermediate subunit"
"K13973","pore-forming peptide ameobapore"
"K13974","calcium-binding protein"
"K13975","phagosome-associated TMK96"
"K13976","p21-activated kinase"
"K13977","LIM domain-containing protein"
"K13978","actinin-like protein"
"K13980","alcohol dehydrogenase 4 [EC:1.1.1.1]"
"K13984","thioredoxin domain-containing protein 5"
"K13985","N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D [EC:3.1.4.54]"
"K13987","ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase [EC:3.6.1.13 3.6.1.58 3.6.1.- 2.7.7.96]"
"K13988","ADP-ribose pyrophosphatase [EC:3.6.1.13]"
"K13989","Derlin-2/3"
"K13990","glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase [EC:2.1.2.5 4.3.1.4]"
"K13991","photosynthetic reaction center H subunit"
"K13993","HSP20 family protein"
"K13994","photosynthetic reaction center PufX protein"
"K13995","maleamate amidohydrolase [EC:3.5.1.107]"
"K13996","protein disulfide-isomerase [EC:5.3.4.1]"
"K13997","dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex"
"K13998","dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45]"
"K13999","cytoskeleton-associated protein 4"
"K14000","ribosome-binding protein 1"
"K14001","nucleotide exchange factor SIL1"
"K14002","DnaJ-related protein SCJ1"
"K14003","prolactin regulatory element-binding protein"
"K14004","protein transport protein SEC13"
"K14005","protein transport protein SEC31"
"K14006","protein transport protein SEC23"
"K14007","protein transport protein SEC24"
"K14008","endoplasmic reticulum lectin 1"
"K14009","B-cell receptor-associated protein 31"
"K14010","translocating chain-associated membrane protein 1"
"K14011","UBX domain-containing protein 6"
"K14012","UBX domain-containing protein 1"
"K14013","UBX domain-containing protein 2"
"K14014","small VCP/p97-interacting protein"
"K14015","nuclear protein localization protein 4 homolog"
"K14016","ubiquitin fusion degradation protein 1"
"K14017","HSP70 co-chaperone SNL1"
"K14018","phospholipase A-2-activating protein"
"K14019","protein phosphatase 1 regulatory subunit 15A"
"K14020","wolfamin"
"K14021","Bcl-2 homologous antagonist/killer"
"K14022","coupling of ubiquitin conjugation to ER degradation protein 1"
"K14023","ERAD-associated E3 ubiquitin-protein ligase component HRD3"
"K14024","U1 SNP1-associating protein 1"
"K14025","selenoprotein S"
"K14026","SEL1 protein"
"K14027","homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein"
"K14028","methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"
"K14029","methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]"
"K14030","nuclear receptor subfamily 2 group B member 4"
"K14034","ecdysone receptor"
"K14035","nuclear receptor subfamily 1 group I"
"K14036","ent-cassa-12,15-diene synthase [EC:4.2.3.28]"
"K14037","ent-sandaracopimaradiene/labdatriene synthase [EC:4.2.3.29 4.2.3.99]"
"K14038","ent-pimara-8(14),15-diene synthase [EC:4.2.3.30]"
"K14039","taxadiene 5alpha-hydroxylase [EC:1.14.99.37]"
"K14040","abietadienol/abietadienal oxidase [EC:1.14.13.109]"
"K14041","levopimaradiene/copalyl diphosphate synthase [EC:4.2.3.32 5.5.1.12]"
"K14042","isopimara-7,15-diene synthase /copalyl diphosphate synthase [EC:4.2.3.44 5.5.1.12]"
"K14043","syn-copalyl-diphosphate synthase [EC:5.5.1.14]"
"K14044","stemar-13-ene synthase [EC:4.2.3.33]"
"K14045","stemod-13(17)-ene synthase [EC:4.2.3.34]"
"K14046","syn-pimara-7,15-diene synthase [EC:4.2.3.35]"
"K14047","fusicocca-2,10(14)-diene synthase [EC:4.2.3.43]"
"K14048","urease subunit gamma/beta [EC:3.5.1.5]"
"K14049","dopamine D2-like receptor"
"K14051","c-di-GMP phosphodiesterase Gmr [EC:3.1.4.52]"
"K14066","geranyl diphosphate synthase [EC:2.5.1.1]"
"K14067","malate-CoA ligase subunit beta [EC:6.2.1.9]"
"K14073","pancreatic triacylglycerol lipase [EC:3.1.1.3]"
"K14074","pancreatic lipase-related protein 1 [EC:3.1.1.3]"
"K14075","pancreatic lipase-related protein 2 [EC:3.1.1.3]"
"K14076","pancreatic lipase-related protein 3 [EC:3.1.1.3]"
"K14077","two pore calcium channel protein 2"
"K14078","solute carrier family 26 (chloride anion exchanger), member 3"
"K14080","[methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246]"
"K14081","methanol corrinoid protein"
"K14082","[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]"
"K14083","trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]"
"K14084","trimethylamine corrinoid protein"
"K14085","aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]"
"K14132","tryprostatin B synthase [EC:2.5.1.106]"
"K14134","12alpha,13alpha-dihydroxyfumitremorgin C prenyltransferase [EC:2.5.1.110]"
"K14138","acetyl-CoA synthase [EC:2.3.1.169]"
"K14139","immunity-related GTPase family M protein [EC:3.6.5.-]"
"K14140","interferon gamma induced GTPase"
"K14141","profilin-like protein"
"K14142","toll-like receptor 11"
"K14143","major surface antigen"
"K14144","microneme protein"
"K14145","rhoptry neck protein 2"
"K14146","rhoptry neck protein 4"
"K14147","dense granule protein 7"
"K14148","rhoptry protein 2"
"K14149","dense granule protein 3"
"K14150","dense granule protein 5"
"K14151","rhoptry protein 16"
"K14152","phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase / histidinol dehydrogenase [EC:3.6.1.31 3.5.4.19 1.1.1.23]"
"K14153","hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]"
"K14154","thiamine-phosphate diphosphorylase / hydroxyethylthiazole kinase [EC:2.5.1.3 2.7.1.50]"
"K14155","cystathione beta-lyase [EC:4.4.1.8]"
"K14156","choline/ethanolamine kinase [EC:2.7.1.32 2.7.1.82]"
"K14157","alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]"
"K14158","solute carrier family 5 (sodium/glucose cotransporter), member 1"
"K14159","ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7]"
"K14163","bifunctional glutamyl/prolyl-tRNA synthetase [EC:6.1.1.17 6.1.1.15]"
"K14164","glycyl-tRNA synthetase [EC:6.1.1.14]"
"K14168","cytoplasmic tRNA 2-thiolation protein 1 [EC:2.7.7.-]"
"K14169","cytoplasmic tRNA 2-thiolation protein 2"
"K14170","chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]"
"K14171","alkyl hydroperoxide reductase 1 [EC:1.11.1.15]"
"K14172","light-harvesting complex II chlorophyll a/b binding protein 7"
"K14173","alpha-farnesene synthase [EC:4.2.3.46]"
"K14174","beta-farnesene synthase [EC:4.2.3.47]"
"K14175","(3S,6E)-nerolidol synthase [EC:4.2.3.48]"
"K14176","epi-cedrol synthase [EC:4.2.3.39]"
"K14177","alpha-bisabolene synthase [EC:4.2.3.38]"
"K14178","amorpha-4,11-diene synthase [EC:4.2.3.24]"
"K14179","germacrene-A synthase [EC:4.2.3.23]"
"K14180","aristolochene synthase [EC:4.2.3.9]"
"K14181","valencene/7-epi-alpha-selinene synthase [EC:4.2.3.73 4.2.3.86]"
"K14182","vetispiradiene synthase [EC:4.2.3.21]"
"K14183","(+)-delta-cadinene synthase [EC:4.2.3.13]"
"K14184","alpha-humulene/beta-caryophyllene synthase [EC:4.2.3.104 4.2.3.57]"
"K14185","longifolene synthase [EC:4.2.3.58]"
"K14186","gamma-humulene synthase [EC:4.2.3.56]"
"K14187","chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]"
"K14188","D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]"
"K14190","GDP-L-galactose phosphorylase [EC:2.7.7.69]"
"K14192","clumping factor B"
"K14193","iron-regulated surface determinant protein A"
"K14194","serine-aspartate repeat-containing protein C/D/E"
"K14195","surface protein G"
"K14196","immunoglobulin G-binding protein A"
"K14197","immunoglobulin G-binding protein Sbi"
"K14198","staphylokinase"
"K14199","staphylococcal complement inhibitor"
"K14200","fibrinogen-binding protein"
"K14201","clumping factor A"
"K14202","chemotaxis inhibitory protein"
"K14203","FPRL1 inhibitory protein"
"K14204","protein Map"
"K14205","phosphatidylglycerol lysyltransferase [EC:2.3.2.3]"
"K14206","solute carrier family 15 (oligopeptide transporter), member 1"
"K14207","solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 2"
"K14208","Xaa-Pro aminopeptidase 2 [EC:3.4.11.9]"
"K14209","solute carrier family 36 (proton-coupled amino acid transporter)"
"K14210","solute carrier family 3 (neutral and basic amino acid transporter), member 1"
"K14211","elastin"
"K14215","trans,polycis-decaprenyl diphosphate synthase [EC:2.5.1.86]"
"K14216","2'-5'-oligoadenylate synthetase [EC:2.7.7.84]"
"K14217","interferon-induced protein with tetratricopeptide repeats 1"
"K14218","tRNA Ala"
"K14219","tRNA Arg"
"K14220","tRNA Asn"
"K14221","tRNA Asp"
"K14222","tRNA Cys"
"K14223","tRNA Gln"
"K14224","tRNA Glu"
"K14225","tRNA Gly"
"K14226","tRNA His"
"K14227","tRNA Ile"
"K14228","tRNA Leu"
"K14229","tRNA Lys"
"K14230","tRNA Met"
"K14231","tRNA Phe"
"K14232","tRNA Pro"
"K14233","tRNA Ser"
"K14234","tRNA Thr"
"K14235","tRNA Trp"
"K14236","tRNA Tyr"
"K14237","tRNA Val"
"K14238","tRNA Sec"
"K14239","tRNA Pyl"
"K14242","NF-kappa-B inhibitor zeta"
"K14244","amidotransferase [EC:6.3.5.-]"
"K14249","bifunctional cyclase/aromatase [EC:4.2.1.-]"
"K14250","cyclase"
"K14251","C-methyltransferase [EC:2.1.1.-]"
"K14252","6-methylpretetramide 4-monooxygenase / 4-hydroxy-6-methylpretetramide 12a-monooxygenase [EC:1.14.13.232 1.14.13.233]"
"K14253","6-methylpretetramide 4-monooxygenase [EC:1.14.13.232]"
"K14254","aminotransferase"
"K14255","4-amino-anhydrotetracycline N4-methyltransferase [EC:2.1.1.335]"
"K14256","anhydrotetracycline 6-monooxygenase / 5a,11a-dehydrotetracycline 5-monooxygenase [EC:1.14.13.38 1.14.13.234]"
"K14257","tetracycline 7-halogenase / FADH2 O2-dependent halogenase [EC:1.14.19.49 1.14.19.-]"
"K14259","2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141]"
"K14260","alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]"
"K14263","kynurenine formamidase [EC:3.5.1.9]"
"K14264","kynurenine aminotransferase [EC:2.6.1.7]"
"K14265","tryptophan aminotransferase [EC:2.6.1.27]"
"K14266","tryptophan halogenase [EC:1.14.19.9]"
"K14267","N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]"
"K14268","5-aminovalerate/4-aminobutyrate aminotransferase [EC:2.6.1.48 2.6.1.19]"
"K14272","glutamate--glyoxylate aminotransferase [EC:2.6.1.4 2.6.1.2 2.6.1.44]"
"K14273","D-xylose 1-dehydrogenase (NADP+) [EC:1.1.1.179]"
"K14274","D-xylonolactonase"
"K14275","D-xylonate dehydratase [EC:4.2.1.82]"
"K14276","U1 spliceosomal RNA"
"K14277","U2 spliceosomal RNA"
"K14278","U4 spliceosomal RNA"
"K14279","U5 spliceosomal RNA"
"K14280","U6 spliceosomal RNA"
"K14283","transforming acidic coiled-coil-containing protein 3"
"K14284","nuclear RNA export factor"
"K14285","NTF2-related export protein 1/2"
"K14286","ethanolamine-phosphate phospho-lyase [EC:4.2.3.2]"
"K14288","exportin-T"
"K14289","exportin-5"
"K14290","exportin-1"
"K14291","phosphorylated adapter RNA export protein"
"K14292","trimethylguanosine synthase [EC:2.1.1.-]"
"K14293","importin subunit beta-1"
"K14294","partner of Y14 and mago"
"K14295","nuclear pore complex protein Nup50"
"K14296","nuclear pore complex protein Nup153"
"K14297","nuclear pore complex protein Nup98-Nup96"
"K14298","mRNA export factor"
"K14299","nucleoporin SEH1"
"K14300","nuclear pore complex protein Nup133"
"K14301","nuclear pore complex protein Nup107"
"K14302","nuclear pore complex protein Nup37"
"K14303","nuclear pore complex protein Nup160"
"K14304","nuclear pore complex protein Nup85"
"K14305","nuclear pore complex protein Nup43"
"K14306","nuclear pore complex protein Nup62"
"K14307","nucleoporin p58/p45"
"K14308","nuclear pore complex protein Nup54"
"K14309","nuclear pore complex protein Nup93"
"K14310","nuclear pore complex protein Nup205"
"K14311","nuclear pore complex protein Nup188"
"K14312","nuclear pore complex protein Nup155"
"K14313","nuclear pore complex protein Nup53"
"K14314","nuclear pore complex protein Nup210"
"K14315","nucleoporin NDC1"
"K14316","nuclear pore complex protein Nup121"
"K14317","nuclear pore complex protein Nup214"
"K14318","nuclear pore complex protein Nup88"
"K14319","Ran GTPase-activating protein 1"
"K14320","aladin"
"K14321","nucleoporin-like protein 2"
"K14322","polyadenylate-binding protein-interacting protein 1"
"K14323","protein CASC3"
"K14324","histone deacetylase complex subunit SAP18"
"K14325","RNA-binding protein with serine-rich domain 1"
"K14326","regulator of nonsense transcripts 1 [EC:3.6.4.-]"
"K14327","regulator of nonsense transcripts 2"
"K14328","regulator of nonsense transcripts 3"
"K14329","agmatine coumaroyltransferase [EC:2.3.1.64 2.3.1.-]"
"K14332","photosystem I subunit PsaO"
"K14333","2,3-dihydroxybenzoate decarboxylase [EC:4.1.1.46]"
"K14334","carboxy-cis,cis-muconate cyclase [EC:5.5.1.5]"
"K14338","cytochrome P450 / NADPH-cytochrome P450 reductase [EC:1.14.14.1 1.6.2.4]"
"K14341","solute carrier family 10 (sodium/bile acid cotransporter), member 1"
"K14342","solute carrier family 10 (sodium/bile acid cotransporter), member 2"
"K14349","neutral cholesterol ester hydrolase 1 [EC:3.1.1.-]"
"K14360","organic solute transporter subunit alpha"
"K14361","organic solute transporter subunit beta"
"K14365","four and a half LIM domains protein 1"
"K14366","6-deoxyerythronolide B hydroxylase [EC:1.14.13.188]"
"K14367","erythronolide mycarosyltransferase [EC:2.4.1.328]"
"K14368","3-alpha-mycarosylerythronolide B desosaminyl transferase [EC:2.4.1.278]"
"K14369","erythromycin 3''-O-methyltransferase [EC:2.1.1.254]"
"K14370","erythromycin 12 hydroxylase [EC:1.14.13.154]"
"K14371","type I polyketide synthase AVES"
"K14372","cytochrome P450 hydroxylase [EC:1.14.-.-]"
"K14373","C-5 ketoreductase"
"K14374","avermectin B 5-O-methyltransferase [EC:2.1.1.-]"
"K14375","dTDP-L-oleandrosyltransferase [EC:2.4.1.-]"
"K14376","poly(A) polymerase [EC:2.7.7.19]"
"K14377","osteoclast-associated immunoglobulin-like receptor"
"K14378","triggering receptor expressed on myeloid cells 2"
"K14379","tartrate-resistant acid phosphatase type 5 [EC:3.1.3.2]"
"K14380","four and a half LIM domains protein 2"
"K14381","sequestosome 1"
"K14385","solute carrier family 5 (sodium/iodide cotransporter), member 5"
"K14386","solute carrier family 5 (sodium-dependent multivitamin transporter), member 6"
"K14387","solute carrier family 5 (high affinity choline transporter), member 7"
"K14394","low molecular weight phosphotyrosine protein phosphatase [EC:3.1.3.2 3.1.3.48]"
"K14396","polyadenylate-binding protein 2"
"K14397","cleavage and polyadenylation specificity factor subunit 5"
"K14398","cleavage and polyadenylation specificity factor subunit 6/7"
"K14399","polyribonucleotide 5'-hydroxyl-kinase [EC:2.7.1.78]"
"K14400","pre-mRNA cleavage complex 2 protein Pcf11"
"K14401","cleavage and polyadenylation specificity factor subunit 1"
"K14402","cleavage and polyadenylation specificity factor subunit 2"
"K14403","cleavage and polyadenylation specificity factor subunit 3 [EC:3.1.27.-]"
"K14404","cleavage and polyadenylation specificity factor subunit 4"
"K14405","pre-mRNA 3'-end-processing factor FIP1"
"K14406","cleavage stimulation factor subunit 1"
"K14407","cleavage stimulation factor subunit 2"
"K14408","cleavage stimulation factor subunit 3"
"K14409","protein SMG7"
"K14410","lysosomal acid phosphatase [EC:3.1.3.2]"
"K14411","RNA-binding protein Musashi"
"K14412","alpha-1,4-fucosyltransferase [EC:2.4.1.65]"
"K14413","beta-1,3-galactosyltransferase [EC:2.4.1.-]"
"K14416","elongation factor 1 alpha-like protein"
"K14417","4-chlorobenzoate-CoA ligase [EC:6.2.1.33]"
"K14418","4-chlorobenzoyl-CoA dehalogenase [EC:3.8.1.7]"
"K14419","alpha-subunit of trans-3-chloroacrylic acid dehalogenase [EC:3.8.1.-]"
"K14420","beta-subunit of trans-3-chloroacrylic acid dehalogenase [EC:3.8.1.-]"
"K14421","cis-3-chloroacrylic acid dehalogenase [EC:3.8.1.-]"
"K14422","malonate semialdehyde decarboxylase [EC:4.1.1.-]"
"K14423","4,4-dimethyl-9beta,19-cyclopropylsterol-4alpha-methyl oxidase [EC:1.14.13.72]"
"K14424","4-alpha-methyl-delta7-sterol-4alpha-methyl oxidase [EC:1.14.13.72]"
"K14431","transcription factor TGA"
"K14432","ABA responsive element binding factor"
"K14434","alpha 1,6-fucoside beta 1,4-galactosyltransferase [EC:2.4.1.-]"
"K14439","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:3.6.4.12]"
"K14442","ATP-dependent RNA helicase DHX36 [EC:3.6.4.13]"
"K14443","protein Tob/BTG"
"K14446","crotonyl-CoA carboxylase/reductase [EC:1.3.1.85]"
"K14447","ethylmalonyl-CoA mutase [EC:5.4.99.63]"
"K14448","(2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12]"
"K14449","2-methylfumaryl-CoA hydratase [EC:4.2.1.148]"
"K14451","(3S)-malyl-CoA thioesterase [EC:3.1.2.30]"
"K14452","gastric triacylglycerol lipase [EC:3.1.1.3]"
"K14454","aspartate aminotransferase, cytoplasmic [EC:2.6.1.1]"
"K14455","aspartate aminotransferase, mitochondrial [EC:2.6.1.1]"
"K14456","2-acylglycerol O-acyltransferase 3 [EC:2.3.1.20 2.3.1.22]"
"K14457","2-acylglycerol O-acyltransferase 2 [EC:2.3.1.22]"
"K14458","2-acylglycerol O-acyltransferase 1 [EC:2.3.1.22]"
"K14459","hexosaminidase [EC:3.2.1.52]"
"K14460","colipase"
"K14461","Niemann-Pick C1-like protein 1"
"K14462","apolipoprotein B"
"K14463","microsomal triglyceride transfer protein large subunit"
"K14464","alpha-1,3-fucosyltransferase [EC:2.4.1.-]"
"K14465","succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]"
"K14466","4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40]"
